,Question,TRUE,FALSE
183,36,1,0
184,54,1,0
185,57,1,0
186,51,1,0
187,54,1,0
188,49,1,0
189,34,1,0
190,41,1,0
191,38,1,0
192,45,1,0
193,42,1,0
194,34,1,0
195,48,1,0
196,37,1,0
197,34,1,0
198,40,1,0
199,43,1,0
200,33,1,0
201,32,1,0
202,39,1,0
203,43,1,0
204,44,1,0
205,35,1,0
206,35,1,0
207,35,1,0
208,36,1,0
209,35,1,0
210,36,1,0
211,55,1,0
212,59,1,0
213,57,1,0
214,39,1,0
215,39,1,0
216,30,1,0
217,30,1,0
218,50,1,0
219,40,1,0
220,35,1,0
221,43,1,0
222,36,1,0
223,46,1,0
224,40,1,0
225,58,1,0
226,42,1,0
227,35,1,0
228,43,1,0
229,45,1,0
230,39,1,0
231,50,1,0
232,32,1,0
233,39,1,0
234,52,1,0
235,44,1,0
236,56,1,0
237,48,1,0
238,33,1,0
239,43,1,0
240,57,1,0
241,36,1,0
242,34,1,0
243,34,1,0
244,30,1,0
245,33,1,0
246,32,1,0
247,36,1,0
248,36,1,0
249,33,1,0
250,40,1,0
251,41,1,0
252,51,1,0
253,36,1,0
254,28,1,0
255,53,1,0
256,58,1,0
257,45,1,0
258,43,1,0
259,33,1,0
260,33,1,0
261,27,1,0
262,42,1,0
263,43,1,0
264,42,1,0
265,27,1,0
266,34,1,0
267,31,1,0
268,54,1,0
269,40,1,0
270,52,1,0
271,47,1,0
272,49,1,0
273,32,1,0
274,49,1,0
275,50,1,0
276,34,1,0
277,55,1,0
278,47,1,0
279,51,1,0
280,47,1,0
281,56,1,0
282,53,1,0
283,36,1,0
284,42,1,0
285,44,1,0
286,39,0,1
287,37,1,0
288,60,1,0
289,36,1,0
290,42,1,0
291,31,1,0
292,53,1,0
293,45,1,0
294,37,1,0
295,47,1,0
296,49,1,0
297,36,1,0
298,35,1,0
299,38,1,0
300,38,1,0
301,50,1,0
302,59,1,0
303,43,1,0
304,42,1,0
305,40,1,0
306,46,1,0
307,57,1,0
308,42,1,0
309,41,1,0
310,54,1,0
311,27,1,0
312,36,1,0
313,58,1,0
314,40,1,0
315,34,1,0
316,33,1,0
317,56,1,0
318,42,1,0
319,43,1,0
320,54,1,0
321,53,1,0
322,42,1,0
323,40,1,0
324,54,1,0
325,40,1,0
326,26,1,0
327,33,1,0
328,35,1,0
329,36,1,0
330,29,1,0
331,36,1,0
332,35,1,0
333,50,1,0
334,46,1,0
335,49,1,0
336,42,1,0
337,36,1,0
338,55,1,0
339,41,1,0
340,57,1,0
341,32,1,0
342,49,1,0
343,57,1,0
344,58,1,0
345,52,1,0
346,50,1,0
347,41,1,0
348,33,1,0
349,57,1,0
350,48,1,0
351,55,1,0
352,38,1,0
353,38,1,0
354,53,1,0
355,43,1,0
356,36,1,0
357,32,1,0
358,33,1,0
359,58,1,0
360,40,1,0
361,57,1,0
362,45,1,0
363,42,1,0
364,46,1,0
365,36,1,0
366,41,1,0
367,57,1,0
368,49,1,0
369,56,1,0
370,37,1,0
371,37,1,0
372,46,1,0
373,22,1,0
374,43,1,0
375,49,1,0
376,41,1,0
377,38,1,0
378,33,1,0
379,49,1,0
380,30,1,0
381,33,1,0
382,34,1,0
383,30,1,0
384,59,1,0
385,59,1,0
386,41,1,0
387,48,1,0
388,28,0,1
389,44,0,1
390,59,1,0
391,50,1,0
392,35,1,0
393,42,1,0
394,45,1,0
395,36,1,0
396,56,1,0
397,29,1,0
398,41,1,0
399,42,1,0
400,52,1,0
401,48,1,0
402,31,1,0
403,43,1,0
404,36,1,0
405,42,1,0
406,52,1,0
407,39,1,0
408,36,1,0
409,42,1,0
410,41,1,0
411,55,1,0
412,30,1,0
413,57,1,0
414,45,1,0
415,51,1,0
416,39,1,0
417,47,1,0
418,27,1,0
419,34,1,0
420,57,1,0
421,43,1,0
422,49,1,0
423,39,1,0
424,38,1,0
425,49,1,0
426,58,1,0
427,43,1,0
428,50,1,0
429,31,1,0
430,43,1,0
431,43,1,0
432,30,1,0
433,27,1,0
434,51,1,0
435,37,1,0
436,46,1,0
437,35,1,0
438,47,1,0
439,46,1,0
440,40,1,0
441,26,1,0
442,32,1,0
443,45,1,0
444,34,1,0
445,47,1,0
446,42,0,1
447,57,1,0
448,57,1,0
449,38,1,0
450,57,1,0
451,28,1,0
452,60,1,0
453,48,1,0
454,47,1,0
455,40,1,0
456,51,1,0
457,48,1,0
458,54,1,0
459,40,1,0
460,44,1,0
461,42,1,0
462,52,1,0
463,31,1,0
464,32,1,0
465,44,1,0
466,39,1,0
467,57,1,0
468,52,1,0
469,42,0,1
470,42,1,0
471,43,1,0
472,31,1,0
473,29,1,0
474,57,1,0
475,44,1,0
476,59,1,0
477,39,1,0
478,57,1,0
479,41,1,0
480,37,1,0
481,38,1,0
482,42,1,0
483,49,1,0
484,54,1,0
485,36,1,0
486,32,1,0
487,35,1,0
488,45,1,0
489,56,1,0
490,34,1,0
491,41,1,0
492,41,1,0
493,36,1,0
494,32,1,0
495,31,1,0
496,38,1,0
497,35,1,0
498,53,1,0
499,51,1,0
500,56,1,0
501,33,1,0
502,33,1,0
503,51,1,0
504,39,0,1
505,45,1,0
506,40,1,0
507,60,1,0
508,33,1,0
509,47,1,0
510,48,1,0
511,43,1,0
512,37,1,0
513,50,1,0
514,59,1,0
515,32,1,0
516,42,1,0
517,52,1,0
518,42,1,0
519,42,1,0
520,40,1,0
521,38,1,0
522,39,1,0
523,39,1,0
524,38,1,0
525,47,1,0
526,30,1,0
527,38,1,0
528,39,1,0
529,44,1,0
530,36,1,0
531,41,1,0
532,41,1,0
533,35,1,0
534,41,1,0
535,36,1,0
536,35,1,0
537,33,1,0
538,38,1,0
539,33,1,0
540,55,1,0
541,36,1,0
542,57,1,0
543,32,1,0
544,30,1,0
545,43,1,0
546,46,1,0
547,35,1,0
548,34,1,0
549,50,1,0
550,39,1,0
551,39,1,0
552,42,1,0
553,57,1,0
554,45,1,0
555,40,1,0
556,42,0,1
557,40,1,0
558,38,1,0
559,39,1,0
560,41,1,0
561,39,1,0
562,41,1,0
563,45,1,0
564,35,1,0
565,35,1,0
566,49,1,0
567,36,1,0
568,23,1,0
569,43,1,0
570,49,1,0
571,36,1,0
572,51,1,0
573,56,1,0
574,45,1,0
575,42,1,0
576,41,1,0
577,32,1,0
578,46,1,0
579,37,1,0
580,53,1,0
581,30,1,0
582,45,1,0
583,24,1,0
584,45,1,0
585,34,1,0
586,41,1,0
587,59,1,0
588,45,1,0
589,54,1,0
590,32,1,0
591,33,1,0
592,32,1,0
593,34,1,0
594,46,1,0
595,57,1,0
596,42,1,0
597,48,1,0
598,58,1,0
599,34,1,0
600,32,1,0
601,48,1,0
602,47,1,0
603,31,1,0
604,32,1,0
605,32,1,0
606,36,1,0
607,53,1,0
608,37,1,0
609,50,1,0
610,46,1,0
611,41,1,0
612,43,1,0
613,51,1,0
614,38,1,0
615,41,1,0
616,39,1,0
617,52,1,0
618,37,1,0
619,41,1,0
620,46,1,0
621,47,1,0
622,35,1,0
623,38,1,0
624,30,1,0
625,46,1,0
626,30,1,0
627,35,1,0
628,58,1,0
629,40,1,0
630,34,1,0
631,30,1,0
632,38,1,0
633,55,1,0
634,55,1,0
635,45,1,0
636,36,1,0
637,32,1,0
638,35,1,0
639,55,1,0
640,49,1,0
641,29,1,0
642,34,1,0
643,54,1,0
644,36,1,0
645,30,1,0
646,33,1,0
647,37,1,0
648,36,1,0
649,33,1,0
650,32,1,0
651,32,1,0
652,50,1,0
653,39,1,0
654,51,1,0
655,33,1,0
656,33,1,0
657,56,1,0
658,39,1,0
659,33,1,0
660,59,1,0
661,42,1,0
662,43,1,0
663,35,1,0
664,46,1,0
665,27,1,0
666,47,1,0
667,31,1,0
668,32,1,0
669,54,1,0
670,56,1,0
671,48,1,0
672,44,1,0
673,46,1,0
674,45,1,0
675,43,1,0
676,40,1,0
677,56,1,0
678,47,1,0
679,39,1,0
680,48,1,0
681,45,0,1
682,36,1,0
683,49,1,0
684,46,1,0
685,38,1,0
686,50,1,0
687,27,1,0
688,40,1,0
689,46,1,0
690,40,1,0
691,33,1,0
692,54,1,0
693,52,1,0
694,53,1,0
695,49,1,0
696,42,1,0
697,49,1,0
698,40,1,0
699,59,1,0
700,51,1,0
701,57,1,0
702,38,1,0
703,52,1,0
704,26,1,0
705,35,1,0
706,51,1,0
707,43,1,0
708,42,1,0
709,60,1,0
710,36,1,0
711,57,1,0
712,35,1,0
713,30,1,0
714,43,1,0
715,40,1,0
716,45,1,0
717,56,1,0
718,46,1,0
719,41,1,0
720,42,1,0
721,56,1,0
722,43,1,0
723,34,1,0
724,38,1,0
725,40,1,0
726,38,1,0
727,48,1,0
728,27,1,0
729,24,1,0
730,47,1,0
731,48,1,0
732,31,1,0
733,39,1,0
734,41,1,0
735,49,1,0
736,56,1,0
737,49,1,0
738,47,1,0
739,44,1,0
740,48,1,0
741,55,1,0
742,59,1,0
743,44,1,0
744,46,1,0
745,39,1,0
746,38,1,0
747,36,1,0
748,29,1,0
749,31,1,0
750,30,1,0
751,36,1,0
752,60,1,0
753,36,1,0
754,32,1,0
755,39,1,0
756,30,1,0
757,39,1,0
758,37,1,0
759,39,1,0
760,46,1,0
761,43,1,0
762,37,1,0
763,30,1,0
764,38,1,0
765,31,1,0
766,44,1,0
767,44,1,0
768,38,1,0
769,30,1,0
770,37,1,0
771,54,1,0
772,41,1,0
773,43,1,0
774,38,1,0
775,41,1,0
776,38,1,0
777,33,1,0
778,32,1,0
779,30,1,0
780,43,1,0
781,30,1,0
782,36,1,0
783,38,1,0
784,35,1,0
785,50,1,0
786,38,1,0
787,58,1,0
788,50,1,0
789,33,1,0
790,33,1,0
791,44,1,0
792,31,1,0
793,40,1,0
794,28,1,0
795,36,1,0
796,44,1,0
797,38,1,0
798,33,1,0
799,39,1,0
800,47,1,0
801,47,1,0
802,35,1,0
803,42,1,0
804,36,1,0
805,35,1,0
806,36,1,0
807,56,1,0
808,26,1,0
809,31,1,0
810,57,1,0
811,39,1,0
812,43,1,0
813,50,1,0
814,52,1,0
815,39,1,0
816,44,1,0
817,36,1,0
818,54,1,0
819,27,1,0
820,31,0,1
821,31,1,0
822,28,1,0
823,31,1,0
824,30,1,0
825,52,1,0
826,37,1,0
827,30,1,0
828,45,1,0
829,54,1,0
830,49,1,0
831,44,1,0
832,28,0,1
833,53,1,0
834,45,1,0
835,45,1,0
836,51,1,0
837,41,1,0
838,43,1,0
839,31,1,0
840,39,1,0
841,38,1,0
842,50,1,0
843,53,1,0
844,44,1,0
845,53,1,0
846,24,1,0
847,34,1,0
848,40,1,0
849,57,1,0
850,43,1,0
851,31,1,0
852,31,1,0
853,31,1,0
854,45,1,0
855,38,1,0
856,41,0,1
857,47,1,0
858,42,1,0
859,35,1,0
860,40,1,0
861,42,1,0
862,34,1,0
863,48,1,0
864,35,1,0
865,33,1,0
866,37,1,0
867,43,1,0
868,42,1,0
869,46,1,0
870,37,0,1
871,40,1,0
872,40,1,0
873,59,1,0
874,43,1,0
875,44,1,0
876,44,0,1
877,41,1,0
878,28,1,0
879,48,1,0
880,31,1,0
881,27,1,0
882,43,1,0
883,47,1,0
884,40,1,0
885,43,1,0
886,29,1,0
887,54,1,0
888,36,1,0
889,30,1,0
890,38,1,0
891,39,1,0
892,33,1,0
893,39,1,0
894,38,1,0
895,44,1,0
896,33,1,0
897,37,1,0
898,32,1,0
899,46,1,0
900,34,1,0
901,52,1,0
902,46,1,0
903,57,1,0
904,52,1,0
905,32,1,0
906,31,1,0
907,46,1,0
908,59,1,0
909,38,1,0
910,42,1,0
911,40,1,0
912,46,1,0
913,35,1,0
914,28,1,0
915,47,1,0
916,35,1,0
917,48,1,0
918,40,1,0
919,32,1,0
920,59,1,0
921,48,1,0
922,45,1,0
923,49,1,0
924,51,1,0
925,38,1,0
926,53,1,0
927,49,1,0
928,31,1,0
929,36,1,0
930,54,1,0
931,29,1,0
932,31,1,0
933,35,1,0
934,38,1,0
935,54,1,0
936,48,1,0
937,48,1,0
938,32,1,0
939,34,1,0
940,49,1,0
941,44,1,0
942,42,1,0
943,55,1,0
944,42,1,0
945,44,1,0
946,51,1,0
947,43,1,0
948,52,1,0
949,45,1,0
950,41,1,0
951,35,1,0
952,41,1,0
953,46,1,0
954,36,1,0
955,29,1,0
956,47,1,0
957,43,1,0
958,38,1,0
959,44,1,0
960,29,1,0
961,58,1,0
962,48,1,0
963,46,1,0
964,31,1,0
965,47,1,0
966,44,1,0
967,31,1,0
968,38,1,0
969,33,1,0
970,53,1,0
971,33,1,0
972,33,1,0
973,37,1,0
974,55,1,0
975,41,1,0
976,46,1,0
977,32,1,0
978,48,1,0
979,34,1,0
980,35,1,0
981,55,1,0
982,45,1,0
983,48,1,0
984,34,1,0
985,46,1,0
986,34,1,0
987,51,1,0
988,37,1,0
989,54,1,0
990,45,1,0
991,39,1,0
992,39,1,0
993,39,1,0
994,39,1,0
995,32,1,0
996,41,1,0
997,59,1,0
998,57,1,0
999,30,1,0
1000,34,1,0
1001,34,1,0
1002,38,1,0
1003,31,1,0
1004,47,1,0
1005,57,1,0
1006,44,1,0
1007,45,1,0
1008,36,1,0
1009,44,1,0
1010,51,1,0
1011,28,1,0
1012,50,1,0
1013,51,1,0
1014,38,1,0
1015,44,1,0
1016,35,1,0
1017,35,1,0
1018,32,1,0
1019,48,1,0
1020,35,1,0
1021,44,1,0
1022,43,1,0
1023,40,1,0
1024,50,1,0
1025,44,1,0
1026,37,1,0
1027,32,1,0
1028,58,1,0
1029,49,1,0
1030,32,1,0
1031,30,1,0
1032,28,1,0
1033,40,1,0
1034,44,1,0
1035,30,1,0
1036,30,1,0
1037,28,1,0
1038,58,1,0
1039,45,1,0
1040,35,1,0
1041,57,1,0
1042,35,1,0
1043,41,1,0
1044,42,1,0
1045,42,1,0
1046,51,1,0
1047,48,1,0
1048,39,1,0
1049,47,1,0
1050,34,1,0
1051,44,1,0
1052,52,1,0
1053,51,1,0
1054,49,1,0
1055,35,1,0
1056,44,1,0
1057,37,1,0
1058,47,1,0
1059,43,1,0
1060,40,1,0
1061,32,1,0
1062,42,1,0
1063,42,1,0
1064,39,1,0
1065,32,1,0
1066,30,1,0
1067,42,1,0
1068,35,1,0
1069,56,1,0
1070,40,1,0
1071,26,1,0
1072,57,1,0
1073,51,1,0
1074,31,1,0
1075,31,1,0
1076,60,1,0
1077,29,1,0
1078,44,0,1
1079,26,1,0
1080,54,1,0
1081,34,1,0
1082,29,1,0
1083,33,1,0
1084,35,1,0
1085,42,1,0
1086,53,1,0
1087,51,1,0
1088,59,1,0
1089,51,1,0
1090,36,1,0
1091,47,1,0
1092,51,1,0
1093,42,1,0
1094,40,1,0
1095,26,1,0
1096,45,1,0
1097,51,1,0
1098,42,1,0
1099,31,1,0
1100,38,1,0
1101,51,1,0
1102,39,1,0
1103,36,1,0
1104,60,1,0
1105,34,1,0
1106,41,1,0
1107,34,1,0
1108,36,1,0
1109,33,1,0
1110,46,1,0
1111,44,1,0
1112,30,1,0
1113,34,1,0
1114,54,0,1
1115,58,1,0
1116,29,1,0
1117,41,1,0
1118,53,1,0
1119,35,1,0
1120,34,1,0
1121,36,1,0
1122,31,1,0
1123,59,1,0
1124,49,1,0
1125,37,1,0
1126,50,1,0
1127,34,1,0
1128,32,1,0
1129,45,1,0
1130,39,1,0
1131,43,1,0
1132,43,1,0
1133,52,1,0
1134,54,1,0
1135,54,1,0
1136,31,1,0
1137,35,1,0
1138,28,1,0
1139,56,1,0
1140,35,1,0
1141,45,1,0
1142,38,1,0
1143,42,1,0
1144,44,1,0
1145,58,1,0
1146,43,1,0
1147,37,1,0
1148,45,1,0
1149,59,1,0
1150,50,1,0
1151,41,1,0
1152,33,1,0
1153,46,1,0
1154,30,1,0
1155,28,1,0
1156,58,1,0
1157,43,1,0
1158,39,1,0
1159,25,1,0
1160,39,1,0
1161,42,1,0
1162,43,1,0
1163,43,1,0
1164,33,1,0
1165,52,1,0
1166,42,0,1
1167,53,1,0
1168,41,1,0
1169,48,1,0
1170,40,1,0
1171,40,1,0
1172,53,1,0
1173,55,1,0
1174,39,1,0
1175,35,1,0
1176,50,1,0
1177,38,1,0
1178,41,1,0
1179,44,1,0
1180,39,1,0
1181,44,1,0
1182,51,1,0
1183,41,1,0
1184,31,1,0
1185,40,1,0
1186,38,1,0
1187,48,1,0
1188,32,1,0
1189,46,0,1
1190,49,1,0
1191,47,1,0
1192,28,1,0
1193,38,1,0
1194,28,1,0
1195,51,1,0
1196,50,1,0
1197,38,1,0
1198,48,1,0
1199,44,1,0
1200,30,1,0
1201,34,1,0
1202,36,1,0
1203,41,1,0
1204,40,1,0
1205,35,1,0
1206,46,1,0
1207,35,1,0
1208,32,1,0
1209,34,1,0
1210,35,1,0
1211,28,1,0
1212,30,1,0
1213,48,1,0
1214,53,1,0
1215,31,1,0
1216,59,1,0
1217,51,1,0
1218,47,1,0
1219,40,1,0
1220,42,1,0
1221,30,1,0
1222,40,1,0
1223,30,1,0
1224,50,1,0
1225,36,1,0
1226,29,1,0
1227,43,1,0
1228,35,1,0
1229,35,1,0
1230,48,1,0
1231,49,1,0
1232,44,1,0
1233,32,0,1
1234,55,1,0
1235,41,1,0
1236,27,1,0
1237,41,1,0
1238,36,1,0
1239,45,1,0
1240,36,1,0
1241,54,1,0
1242,48,1,0
1243,32,1,0
1244,33,1,0
1245,43,1,0
1246,44,1,0
1247,50,1,0
1248,32,1,0
1249,43,1,0
1250,32,1,0
1251,43,1,0
1252,40,1,0
1253,24,1,0
1254,32,1,0
1255,43,1,0
1256,43,0,1
1257,35,1,0
1258,33,1,0
1259,43,1,0
1260,48,1,0
1261,52,1,0
1262,49,1,0
1263,30,1,0
1264,36,1,0
1265,39,1,0
1266,39,1,0
1267,36,1,0
1268,39,1,0
1269,31,1,0
1270,41,1,0
1271,35,1,0
1272,55,1,0
1273,57,1,0
1274,38,1,0
1275,52,1,0
1276,60,1,0
1277,24,1,0
1278,38,1,0
1279,44,1,0
1280,42,1,0
1281,25,1,0
1282,32,1,0
1283,51,1,0
1284,28,1,0
1285,27,1,0
1286,35,1,0
1287,45,1,0
1288,30,1,0
1289,60,1,0
1290,28,1,0
1291,45,1,0
1292,37,1,0
1293,37,1,0
1294,36,1,0
1295,49,1,0
1296,35,1,0
1297,34,1,0
1298,31,1,0
1299,42,1,0
1300,39,1,0
1301,33,1,0
1302,38,1,0
1303,30,1,0
1304,31,1,0
1305,39,1,0
1306,37,1,0
1307,48,1,0
1308,32,1,0
1309,48,1,0
1310,37,1,0
1311,37,1,0
1312,26,1,0
1313,33,1,0
1314,54,1,0
1315,37,1,0
1316,35,1,0
1317,45,1,0
1318,33,1,0
1319,54,0,1
1320,37,1,0
1321,35,1,0
1322,33,1,0
1323,49,1,0
1324,43,1,0
1325,43,1,0
1326,39,1,0
1327,47,1,0
1328,30,1,0
1329,51,1,0
1330,59,1,0
1331,31,1,0
1332,39,1,0
1333,43,1,0
1334,30,1,0
1335,37,1,0
1336,42,1,0
1337,37,1,0
1338,37,1,0
1339,37,1,0
1340,36,1,0
1341,48,1,0
1342,43,1,0
1343,28,1,0
1344,30,1,0
1345,60,1,0
1346,31,1,0
1347,38,1,0
1348,50,0,1
1349,36,1,0
1350,50,1,0
1351,54,1,0
1352,33,1,0
1353,20,1,0
1354,24,1,0
1355,28,1,0
1356,55,1,0
1357,25,1,0
1358,41,1,0
1359,39,1,0
1360,27,1,0
1361,27,1,0
1362,34,1,0
1363,25,1,0
1364,48,1,0
1365,36,1,0
1366,36,1,0
1367,27,1,0
1368,45,1,0
1369,28,1,0
1370,30,1,0
1371,43,1,0
1372,32,1,0
1373,29,1,0
1374,35,1,0
1375,43,1,0
1376,35,1,0
1377,36,1,0
1378,36,1,0
1379,48,1,0
1380,38,1,0
1381,38,1,0
1382,45,1,0
1383,35,1,0
1384,42,1,0
1385,56,1,0
1386,30,1,0
1387,45,1,0
1388,39,1,0
1389,36,1,0
1390,32,1,0
1391,29,1,0
1392,34,1,0
1393,36,1,0
1394,33,1,0
1395,43,1,0
1396,31,0,1
1397,35,1,0
1398,42,1,0
1399,35,1,0
1400,44,1,0
1401,36,1,0
1402,47,1,0
1403,59,1,0
1404,29,1,0
1405,30,1,0
1406,38,1,0
1407,45,1,0
1408,28,1,0
1409,37,1,0
1410,38,1,0
1411,28,1,0
1412,31,1,0
1413,37,1,0
1414,36,1,0
1415,54,1,0
1416,53,1,0
1417,43,1,0
1418,49,1,0
1419,32,1,0
1420,36,1,0
1421,50,1,0
1422,51,1,0
1423,38,1,0
1424,44,1,0
1425,29,1,0
1426,46,1,0
1427,32,1,0
1428,43,1,0
1429,53,1,0
1430,43,1,0
1431,35,1,0
1432,49,1,0
1433,35,1,0
1434,40,1,0
1435,29,1,0
1436,43,1,0
1437,47,1,0
1438,38,1,0
1439,48,1,0
1440,53,1,0
1441,53,1,0
1442,51,0,1
1443,35,1,0
1444,31,0,1
1445,46,1,0
1446,28,1,0
1447,38,1,0
1448,28,1,0
1449,50,1,0
1450,32,1,0
1451,31,1,0
1452,39,1,0
1453,41,1,0
1454,31,1,0
1455,54,1,0
1456,34,1,0
1457,51,1,0
1458,45,1,0
1459,32,1,0
1460,28,1,0
1461,40,1,0
1462,55,1,0
1463,41,1,0
1464,57,1,0
1465,44,1,0
1466,29,1,0
1467,38,1,0
1468,34,1,0
1469,36,1,0
1470,39,1,0
1471,30,1,0
1472,35,1,0
1473,60,1,0
1474,35,1,0
1475,38,1,0
1476,57,1,0
1477,44,1,0
1478,40,1,0
1479,46,1,0
1480,50,1,0
1481,45,1,0
1482,57,1,0
1483,35,1,0
1484,38,1,0
1485,30,1,0
1486,25,1,0
1487,52,1,0
1488,37,1,0
1489,60,1,0
1490,42,1,0
1491,37,1,0
1492,43,1,0
1493,33,1,0
1494,32,1,0
1495,41,1,0
1496,37,1,0
1497,39,1,0
1498,36,1,0
1499,38,1,0
1500,33,1,0
1501,41,0,1
1502,58,1,0
1503,44,1,0
1504,36,1,0
1505,33,1,0
1506,30,1,0
1507,44,1,0
1508,32,1,0
1509,38,1,0
1510,41,1,0
1511,40,1,0
1512,33,1,0
1513,28,1,0
1514,46,1,0
1515,35,1,0
1516,40,1,0
1517,36,1,0
1518,38,1,0
1519,36,1,0
1520,40,1,0
1521,31,1,0
1522,47,1,0
1523,35,1,0
1524,29,1,0
1525,29,1,0
1526,35,1,0
1527,33,1,0
1528,41,1,0
1529,54,1,0
1530,31,1,0
1531,55,1,0
1532,38,1,0
1533,41,1,0
1534,49,1,0
1535,39,1,0
1536,34,1,0
1537,39,1,0
1538,37,1,0
1539,45,1,0
1540,49,1,0
1541,43,1,0
1542,40,1,0
1543,42,1,0
1544,47,1,0
1545,56,1,0
1546,43,1,0
1547,34,1,0
1548,29,1,0
1549,53,1,0
1550,50,1,0
1551,51,1,0
1552,20,1,0
1553,41,1,0
1554,47,1,0
1555,48,1,0
1556,29,1,0
1557,28,1,0
1558,31,1,0
1559,29,1,0
1560,42,1,0
1561,40,1,0
1562,33,1,0
1563,33,1,0
1564,34,1,0
1565,36,1,0
1566,35,1,0
1567,38,1,0
1568,31,1,0
1569,30,1,0
1570,42,1,0
1571,27,1,0
1572,39,1,0
1573,38,1,0
1574,30,1,0
1575,52,1,0
1576,38,1,0
1577,54,1,0
1578,29,1,0
1579,32,1,0
1580,28,1,0
1581,30,1,0
1582,44,1,0
1583,37,1,0
1584,48,1,0
1585,25,1,0
1586,49,1,0
1587,60,1,0
1588,29,1,0
1589,55,1,0
1590,41,1,0
1591,39,1,0
1592,39,1,0
1593,31,1,0
1594,38,1,0
1595,32,1,0
1596,53,1,0
1597,37,1,0
1598,34,1,0
1599,31,1,0
1600,39,1,0
1601,39,1,0
1602,39,1,0
1603,37,1,0
1604,30,1,0
1605,32,1,0
1606,37,1,0
1607,27,1,0
1608,32,0,1
1609,33,1,0
1610,47,1,0
1611,40,1,0
1612,38,1,0
1613,33,0,1
1614,54,1,0
1615,51,1,0
1616,41,1,0
1617,51,1,0
1618,55,1,0
1619,39,1,0
1620,37,1,0
1621,39,1,0
1622,33,1,0
1623,33,1,0
1624,59,1,0
1625,55,1,0
1626,53,1,0
1627,36,1,0
1628,40,1,0
1629,37,1,0
1630,56,1,0
1631,32,1,0
1632,38,0,1
1633,28,1,0
1634,30,1,0
1635,45,1,0
1636,60,0,1
1637,32,1,0
1638,39,1,0
1639,56,1,0
1640,31,1,0
1641,20,1,0
1642,42,1,0
1643,46,1,0
1644,28,1,0
1645,41,1,0
1646,33,1,0
1647,43,1,0
1648,43,1,0
1649,47,1,0
1650,24,1,0
1651,31,1,0
1652,25,1,0
1653,35,1,0
1654,58,1,0
1655,35,0,1
1656,35,1,0
1657,25,1,0
1658,31,1,0
1659,39,1,0
1660,39,1,0
1661,37,1,0
1662,36,1,0
